barkod,adi,fiyat
6700000000000,ABKA 01 TOPRAK KAHVE YANI SU BARDAGI,730.0
6700000000000,ABKA 101-204 ZEMZEM TK.HD YILDIZ,646.0
6700000000000,ABKA 101-244 ZEMZEM TK.BY MERVE ALTIN,646.0
6700000000000,ABKA 101-244 ZEMZEM TK.BY MERVE PLATİN,646.0
6700000000000,ABKA 101-244 ZEMZEM TK.VAV ALTIN,1800.0
6700000000000,ABKA 101-244 ZEMZEM TK.VAV PLATİN,646.0
6700000000000,ABKA 1551 BAKARA EZGI SEKERLIK PLATIN,898.0
6700000000000,ABKA 1551 BAKARA EZGİ ŞEKERLİK ALTIN,898.0
6700000000000,ABKA 1551 BAROK SEKERLIK,730.0
6700000000000,ABKA 1551 GÜLRU ŞEKERLİK ALTIN,842.0
6700000000000,ABKA 1551 KARE ŞEKERLİK,730.0
6700000000000,ABKA 1551 KAYA ALTIN ŞEKERLİK 3MM,842.0
6700000000000,ABKA 1551 KAYA PLATİN ŞEKERLİK 3MM,842.0
6700000000000,ABKA 1551 NERGİS ŞEKERLİK,730.0
6700000000000,ABKA 1551 OTTOMAN ŞEKERLİK BONCUK-PLATIN,730.0
6700000000000,ABKA 1551 RUMEYSA ŞEKERLİK PLATIN-ALTIN,730.0
6700000000000,ABKA 1551 SU DAMLASI SEKERLIK,730.0
6700000000000,ABKA 1551 YEB.İRİS ALTIN ŞEKERLİK,544.0
6700000000000,ABKA 20881 NERGİS ŞİŞE,972.0
6700000000000,ABKA 20881 OTTOMAN ŞİŞE BONCUK ALTIN&PLATİN,1644.0
6700000000000,ABKA 20888 KARE ŞİŞE YATIK,1858.0
6700000000000,ABKA 361-391 BAROK ÇAY TAKIMI RENKLİ,1778.0
6700000000000,ABKA 361-391 BAROK RENKLI CAY BARDAGI,1120.0
6700000000000,ABKA 361-391 İRİS ÇAY TK.TURKZ.ALTIN,1120.0
6700000000000,ABKA 361-391 SU DAMLASI CAY TAKIMI,1778.0
6700000000000,ABKA 361-391 TRN.DANTEL ALTIN 3MM ÇAY TK,860.0
6700000000000,ABKA 361-391 BAROK SADE CAY BARDAGI TKM,1244.0
6700000000000,ABKA 361*391 PRESTİJ ÇAY TAKIMI,814.0
6700000000000,ABKA 381-251 BAKARA EZGİ ÇAY TK.6LI,2434.0
6700000000000,ABKA 381-251 KARE İNCE BELLİ ÇAY TK.,1120.0
6700000000000,ABKA 381-251 KAYA ALTIN ÇAY TK.6LI,1372.0
6700000000000,ABKA 381-251 KAYA PLATİN ÇAY TK.6LI,1372.0
6700000000000,ABKA 381-251 LÜS.GÜLRU ALTIN ÇAY TK.6LI,1372.0
6700000000000,ABKA 381-251 NERGİS İNCE BELLİ ÇAY TK.,1120.0
6700000000000,ABKA 381-251 OTTOMAN İNCE BEL.ÇAY TK.,1778.0
6700000000000,ABKA 381-251 RUMEYSA İNCE BELL.ÇAY TK.,1120.0
6700000000000,ABKA 41013 KAR TANESI KAHVE SU BARD.6LI,784.0
6700000000000,ABKA 41013 KARE KAHVE SU BARDAĞI 6LI,1124.0
6700000000000,ABKA 41013 NERGİS KAHVE SU BARDAĞI 6LI,646.0
6700000000000,ABKA 41013 OTTOMAN KAHVE SU BARDAĞI 6LI,1124.0
6700000000000,ABKA 41013 RUMEYSA KAHVE SU BARD.PLT.6L,432.0
6700000000000,ABKA 41013 RUMEYSA KAHVE SU BARDAĞI 6LI,432.0
6700000000000,ABKA 420013 İRİS ALTIN ORTA BARDAK,1498.0
6700000000000,ABKA 420013 KARE ORTA BARDAĞI 6LI,1498.0
6700000000000,ABKA 420014 BAKARA EZGI TEK BARDAK KISA,228.0
6700000000000,ABKA 420014 BAKARA EZGİ KISA BARDAK ALTI,2360.0
6700000000000,ABKA 420014 KARE KISA BARDAK,1404.0
6700000000000,ABKA 420014 KARE KISA BARDAK 6LI,1028.0
6700000000000,ABKA 420014 KAYA ALTIN KISA BARDAK 3MM,2360.0
6700000000000,ABKA 420014 KAYA PLATİN KISA BARDAK 3MM,1288.0
6700000000000,ABKA 420014 LUST.GULRU KISA BARDK.ALTI,1404.0
6700000000000,ABKA 420014 NERGİS KISA BARDAK 6LI,1404.0
6700000000000,ABKA 420014 OTTOMAN KISA BARDAK 6LI,1404.0
6700000000000,ABKA 420014 PRESTİJ BARDAK,600.0
6700000000000,ABKA 420014 RUMEYSA KISA BARD.PLT.6LI,1404.0
6700000000000,ABKA 420014 RUMEYSA KISA BARDAK ALTIN,946.0
6700000000000,ABKA 420055 BAKARA EZGİ UZUN BARDAK 6LI,2426.0
6700000000000,ABKA 420055 İRİS UZUN BARDAK TURKUAZ ALTI,1592.0
6700000000000,ABKA 420055 KARE UZUN BARDAĞI 6LI,1028.0
6700000000000,ABKA 420055 KAYA ALTIN UZUN BARDAK 3MM,2426.0
6700000000000,ABKA 420055 KAYA PLATİN UZUN BARDAK 3MM,2426.0
6700000000000,ABKA 420055 LUST.GÜLRU ALTIN UZUN BARDA,1592.0
6700000000000,ABKA 420055 NERGİS UZUN BARDAK 6LI,1592.0
6700000000000,ABKA 420055 OTTOMAN UZUN BARDAK ALTIN&PLATİN,2426.0
6700000000000,ABKA 420055 PRESTİJ BARDAK,600.0
6700000000000,ABKA 420055 RUMEYSA UZUN BARDAK PLT.6LI,1028.0
6700000000000,ABKA 420055 RUMEYSA ALTIN UZUN BARDA,1028.0
6700000000000,ABKA 420055 SU DAMLASI  UZUN BARDAK,1592.0
6700000000000,ABKA 420055 UZUN BARDAK RENKLI,1498.0
6700000000000,ABKA 420055 BAROK UZUN BARDAK SADE,694.0
6700000000000,ABKA 42381 ÇAY BARDAĞI HÜMA SET 12PRÇ,1120.0
6700000000000,ABKA 440141 AYAKLI BRD.BAKARA 6LI DKR.EZ,2620.0
6700000000000,ABKA 440141 AYAKLI BRD.BAKARA 6LI EBY EZ,2620.0
6700000000000,ABKA 440141 AYAKLI BRD.KARE 6LI,2352.0
6700000000000,ABKA 440141 AYAKLI BRD.KAYA ALTIN 3MM,2620.0
6700000000000,ABKA 440141 AYAKLI BRD.KAYA PLATİN 3MM,2620.0
6700000000000,ABKA 440141 AYAKLI BRD.LUSTERLİ GULRU 6,1186.0
6700000000000,ABKA 440141 AYAKLI BRD.LUSTERLİ GULRU 6L,1186.0
6700000000000,ABKA 440141 AYAKLI BRD.NERGİS 6LI,1584.0
6700000000000,ABKA 440141 AYAKLI BRD.OTTOMAN ALTIN 6LI,2426.0
6700000000000,ABKA 440141 AYAKLI BRD.OTTOMAN PLATİN 6L,2352.0
